,FS-H,FS-A,FS-W,SS-H,SS-A,SS-W,FL1-H,FL1-A,FL1-W,FL2-H,FL2-A,FL2-W,FL3-H,FL3-A,FL3-W,FL4-H,FL4-A,FL4-W,FL5-H,FL5-A,FL5-W,FL6-H,FL6-A,FL6-W,FL7-H,FL7-A,FL7-W,FL8-H,FL8-A,FL8-W,FL9-H,FL9-A,FL9-W,FL10-H,FL10-A,FL10-W,Time
0,45248,493177,137,10651,138534,232,18288,241344,258,10749,136473,257,9350,152359,296,2891,40025,300,15328,249367,273,1777,26548,237,5662,78306,226,2960,40864,225,3950,66242,298,6970,113492,282,216
1,40096,472310,157,9033,150246,370,14320,239002,399,8436,133093,383,7708,141770,399,2950,41911,387,13984,272591,399,1502,31755,399,5150,100574,400,2646,51822,400,2823,60976,400,4018,91424,400,216
2,44480,383221,96,5753,74002,220,10568,117518,193,6123,67053,193,8313,82268,218,2590,24557,211,12310,115158,153,1659,22071,217,4828,54913,197,2474,27695,197,5233,58446,203,7948,86443,205,216
3,35136,1048575,937,10308,560007,599,19312,1048575,618,11240,613380,613,14752,652985,574,4339,182783,570,17920,1048575,577,4381,232801,506,8782,463812,495,4281,228340,495,5576,342520,923,6580,411514,663,490
4,44064,369688,116,6794,68621,179,7442,67594,158,4705,39191,150,5422,48180,154,2254,14004,128,366,1320,64,926,11667,228,780,6197,194,356,2669,188,4521,38230,140,3146,25958,140,490
5,57968,636738,86,12715,289435,416,13277,288940,439,7992,168695,441,11138,210264,443,4674,65009,345,16128,383892,426,1966,44037,374,8622,172932,374,4521,90561,375,2969,66355,462,7243,163044,460,1010
6,45232,1048575,684,15968,475778,682,14224,501506,810,8708,285155,810,9863,319174,810,3335,87706,810,14368,512511,810,1932,75839,810,8384,277399,779,4360,145096,781,2854,105779,811,6781,238078,811,1010
7,50304,655145,245,9057,161522,356,15056,232068,296,9222,131103,301,13232,153632,279,3373,47773,311,14720,241474,288,1951,39006,350,6714,124736,343,3477,64526,343,3489,51513,308,8535,111197,283,1010
8,56496,596213,104,8968,193531,383,9710,217595,399,7795,134909,402,8134,161783,407,3381,56894,413,13029,283354,377,1742,32448,304,5175,93175,293,2730,48977,295,5146,127596,431,8526,212648,434,1198
9,58736,639624,142,8129,146660,399,7414,118518,399,4009,74328,399,4234,71193,380,2078,28663,383,10318,156533,399,1373,23152,399,3756,59017,400,1892,30050,400,2938,58132,400,5528,112162,400,1198
