,FS-H,FS-A,FS-W,SS-H,SS-A,SS-W,FL1-H,FL1-A,FL1-W,FL2-H,FL2-A,FL2-W,FL3-H,FL3-A,FL3-W,FL4-H,FL4-A,FL4-W,FL5-H,FL5-A,FL5-W,FL6-H,FL6-A,FL6-W,FL7-H,FL7-A,FL7-W,FL8-H,FL8-A,FL8-W,FL9-H,FL9-A,FL9-W,FL10-H,FL10-A,FL10-W,Time
0,29952,174173,87,2301,12839,82,1083,5451,77,791,4335,91,1335,6210,90,987,3884,79,301,1563,78,4853,32154,96,1538,10114,95,755,5026,96,623,3520,89,433,2387,79,238
1,42368,611540,95,8319,204570,455,19088,383569,452,11340,206554,446,12134,215842,458,3463,60785,427,13552,380348,472,1569,38762,407,4832,122272,408,2629,65943,409,4132,80777,453,6994,134351,460,296
2,36528,683159,180,6405,178307,574,13334,308426,574,7756,170166,574,10310,161742,558,2974,49409,556,12705,358668,575,1310,37658,575,4587,132357,575,2519,71723,575,3031,62063,575,5132,102892,575,296
3,29232,233361,109,4717,42487,150,8750,50874,92,3739,23927,97,4009,23593,82,1845,9219,104,12134,59838,76,1301,11813,150,4724,40974,141,2536,21911,142,1447,9534,107,2483,14483,95,296
4,40528,1048575,701,8650,258674,613,12813,382070,609,7826,231344,602,10918,255374,581,3380,67002,561,10967,387197,639,1634,49543,558,4449,136337,557,2374,73576,561,3011,99402,681,4999,158674,661,386
5,26944,229599,126,2751,21152,106,1882,14645,137,1523,9048,66,2075,12462,82,1798,12576,112,362,2404,88,7384,52391,103,2435,17041,102,1187,8428,102,1099,9487,139,848,7368,137,466
6,69632,1048575,671,6199,176704,489,19632,510551,426,10934,273030,417,11941,308514,448,4114,82636,324,19488,600429,551,2127,44210,307,10182,209023,319,5367,110697,326,3136,104411,538,6702,222487,582,756
7,30752,215939,109,4726,23945,74,10142,54574,83,7694,40650,77,8154,45683,93,2396,10460,65,1575,8412,80,696,4487,94,513,3420,96,229,1479,95,3853,20506,81,5176,28160,81,1071
8,30640,166939,80,2488,11744,69,2920,12706,64,2728,11405,69,3837,13802,46,844,3113,59,523,2509,74,212,1386,93,270,1686,87,163,1036,95,1073,4578,59,941,4269,62,1286
9,73456,1048575,1023,21712,1048575,317,12686,1023161,1023,9798,728734,477,12765,852062,455,4242,259609,487,5702,501064,14,1371,128495,1023,1815,161662,1023,956,84185,1023,13526,531993,1023,13094,608850,1023,1398
10,29712,511230,304,10472,227503,428,7914,147076,377,6064,94140,337,6736,98779,466,1781,25337,269,7784,158008,450,1691,32316,278,2379,47955,390,1337,26409,386,1736,33196,471,2285,48116,471,1398
11,69232,1048575,500,10301,555837,937,10550,297660,344,6243,204075,489,7250,235090,868,2753,73243,674,4907,162493,773,1150,37099,560,1644,53853,551,870,28454,554,2798,102495,504,3673,121501,483,1398
12,32336,665389,484,5859,121416,236,1885,33641,529,1539,25820,484,2499,28869,88,1316,14655,494,792,13971,579,125,2023,377,190,3420,376,107,1332,162,608,11880,509,546,12097,553,1398
