,FS-H,FS-A,FS-W,SS-H,SS-A,SS-W,FL1-H,FL1-A,FL1-W,FL2-H,FL2-A,FL2-W,FL3-H,FL3-A,FL3-W,FL4-H,FL4-A,FL4-W,FL5-H,FL5-A,FL5-W,FL6-H,FL6-A,FL6-W,FL7-H,FL7-A,FL7-W,FL8-H,FL8-A,FL8-W,FL9-H,FL9-A,FL9-W,FL10-H,FL10-A,FL10-W,Time
0,57712,379732,95,3842,26988,106,3162,18540,89,2430,15107,108,2911,17671,121,1040,3882,73,45,94,20,21,145,134,14,82,213,14,43,75,6451,46160,110,4224,30230,108,1016
1,29072,321707,178,16720,156413,147,3044,23030,120,2317,15069,97,2795,22677,157,1752,11319,103,1132,9599,133,1511,14833,152,411,4001,148,168,1619,150,2488,21411,136,3098,27427,137,1360
2,52160,1048575,500,15088,326683,470,11162,261856,528,6935,173819,564,7851,187098,618,2890,66947,642,4944,115028,453,1117,29492,487,1461,35982,587,750,18202,516,7279,171167,278,7431,186286,312,1396
3,71856,1027314,344,12432,150332,285,12195,193987,347,8715,133055,345,10263,152800,338,2697,33144,330,5733,63742,117,1411,18377,271,1778,25570,278,925,13092,278,2293,38889,405,3585,59667,405,1396
4,51712,323980,94,11665,65417,84,2485,14925,94,2100,10713,81,4049,18287,48,1533,6532,74,2264,12189,79,1970,12943,95,699,4470,93,318,2022,93,2374,12643,79,3189,17841,84,1567
5,52432,610182,203,36912,343980,146,6930,55862,127,3530,27180,133,6310,49040,127,3126,24964,149,2352,18132,113,512,5502,166,1993,18066,137,2111,18356,129,7651,56841,98,9206,70198,104,1801
6,47344,319418,101,11081,63472,85,1866,9790,74,1080,6471,100,2358,8153,36,637,3485,80,1087,5710,76,1315,8193,89,411,2494,88,174,1065,91,1290,7556,86,1665,9113,79,2350
7,32256,190133,86,11118,63721,81,3195,16040,72,2156,10228,70,3736,15494,43,1379,4894,43,1045,5200,76,1257,7808,90,333,2053,89,148,904,81,1897,9765,69,2002,10240,69,2686
8,44336,324418,111,10778,70741,97,1156,6621,89,802,4753,88,1450,6782,45,971,4878,101,630,3623,89,768,5416,104,177,1258,99,67,455,96,1379,8234,86,1724,10522,88,2738
9,37200,272309,111,6654,46234,107,1979,13110,105,1287,8358,105,2144,12927,124,1357,7788,92,966,7091,118,1419,11680,126,348,2799,122,131,1016,116,1009,7223,110,1488,10646,110,3351
10,33216,217659,99,12637,68970,80,1487,7257,73,895,4577,80,1765,7161,33,768,3387,99,555,2847,85,863,5497,91,260,1660,95,123,706,83,1233,7135,85,1442,8093,80,3513
11,34544,255197,113,5617,40887,107,1747,12244,109,1268,7762,98,2523,12735,108,1802,7438,67,1038,6249,98,1206,8636,105,358,2605,107,163,1104,102,1601,11322,104,2026,14084,102,3563
12,26944,224156,129,12718,80224,95,3130,16758,75,2344,13521,89,2425,10418,52,864,5142,122,1759,9362,74,764,4936,92,497,3084,88,258,1609,91,1155,6976,91,1811,10505,86,3610
13,31872,246686,120,9934,66859,102,1602,10685,106,1048,6175,88,2804,11802,49,827,4333,88,819,4851,95,1062,7658,105,275,2027,106,121,858,105,1631,9166,80,2001,11339,81,3865
14,33200,217032,96,18832,146952,117,2390,15781,99,1784,9254,74,1645,6254,46,809,3163,78,725,3944,87,734,4679,92,239,1529,92,104,630,88,1163,8741,112,1552,10291,92,4224
15,27264,161814,88,4509,24352,80,2697,14156,75,1733,9673,86,1558,9164,99,964,2497,23,793,3734,71,190,1232,93,206,1314,93,125,734,89,868,4099,68,1017,4575,64,4551
16,35504,308354,140,13292,90608,103,1369,8235,97,801,5468,99,1688,8955,77,692,3892,101,1060,7218,100,1091,8074,110,339,2462,108,154,1088,108,963,6582,98,1586,9958,94,5315
17,30784,236962,119,6141,42143,103,1083,6245,86,952,4286,57,877,3959,72,682,1967,26,871,4650,82,847,5961,102,276,1934,103,135,918,108,753,4357,85,1151,6451,81,6628
18,76832,1048575,240,33232,403503,193,27392,333882,197,21904,265011,203,28240,351845,201,7383,85135,165,4176,52865,210,476,3224,193,2451,15173,119,2307,14103,93,22912,264333,180,31248,348252,177,6727
19,38176,292471,117,12352,84723,104,2475,13801,92,1346,8654,108,3178,15909,67,1897,9737,86,682,4743,112,1120,8282,108,267,1994,110,110,801,97,1994,12174,91,2166,13081,90,7103
20,42304,260985,92,2655,15882,89,1108,5140,73,603,2336,31,1076,3858,47,425,2049,101,912,3470,40,514,3452,99,181,1258,103,108,664,91,593,3292,80,771,4380,84,7181
21,44592,272355,92,11024,60485,81,2940,14219,69,2366,8833,42,2984,13200,61,1657,7034,61,1206,5980,67,1350,8356,88,412,2588,89,175,1114,90,2221,11525,76,2644,13444,76,7301
22,39920,488674,187,13826,157121,176,13597,151713,168,11325,121615,175,16976,145617,137,2900,26667,159,103,507,68,361,4160,171,102,1138,164,54,614,188,4436,52081,179,3145,37303,177,7687
23,29072,193304,100,19328,107074,83,3930,19332,68,2066,11365,89,3276,16042,83,1652,6304,40,1151,5953,81,1204,8048,97,346,2290,94,157,1017,98,2152,11187,76,2561,13293,76,8209
24,49248,280413,85,9044,48084,78,4059,20088,69,3196,13675,53,3934,18912,71,1937,8510,69,2504,12222,74,1938,12617,94,782,5036,92,354,2336,95,3066,15383,72,3913,19777,72,8566
25,27936,214941,118,9273,63619,104,1471,7858,86,935,5038,102,1618,8384,109,495,2213,59,766,4964,103,757,5751,112,225,1730,117,105,782,113,854,5677,101,969,6570,101,8819
26,27440,184853,101,8068,46734,85,1183,7463,98,979,4575,74,1255,7189,113,505,1832,62,533,2434,72,529,3380,93,186,1156,90,89,517,91,1280,7486,86,1455,8328,84,8830
27,33104,260051,124,11833,72878,92,1035,6884,102,994,5664,83,1922,8193,70,919,5038,113,723,4215,96,905,6237,102,274,1961,107,132,901,96,898,5637,97,1333,8402,93,8930
28,57728,1048575,439,55904,1048575,424,5817,141210,492,5078,117714,468,7944,178884,466,2572,43431,382,75,686,316,69,1748,479,35,730,469,24,393,437,13414,314134,465,9645,217671,455,9124
29,71088,1048575,386,22496,311872,187,12746,204954,200,10700,140742,188,9511,139600,241,3427,40497,170,4038,74563,314,1470,21305,226,1894,27502,221,911,13464,231,2739,41180,228,3998,65203,242,9163
30,42288,383899,144,20800,149980,109,3532,22187,96,2466,17761,104,3079,18704,84,1362,9582,155,1695,11445,109,1835,14420,119,539,4315,120,245,1923,117,3404,23518,105,4014,29270,112,9214
31,28816,187138,98,5182,31882,92,1313,7493,92,1259,5248,62,1443,5832,61,453,2040,131,680,3496,91,355,2372,95,145,989,98,77,511,97,614,3692,89,799,4486,82,9229
32,28256,211596,115,44352,229084,75,2785,13672,72,1709,8898,79,3114,12923,69,1517,7132,70,960,4801,67,1131,7736,99,312,2184,103,136,915,94,1820,10413,81,2123,11751,79,9607
33,45440,1048575,587,11921,324550,563,12793,259871,384,9069,178595,211,9431,209913,575,2535,57547,622,2896,78941,587,923,23193,532,1326,30234,533,649,14977,534,5816,112267,411,4392,129551,513,10055
34,31504,742897,467,7976,151005,389,11539,115079,226,7937,75497,250,10844,90766,273,3085,25257,307,5034,75219,381,1628,15779,294,2268,23992,338,1179,12843,340,1846,14073,364,3179,25763,350,10055
35,27008,366676,208,16880,201431,184,13416,145581,166,13707,134199,155,18064,178032,138,4594,43374,140,171,960,84,223,2748,181,79,879,168,48,562,196,15904,173019,161,13488,146580,162,11543
36,27168,359175,192,9521,125221,197,5935,69534,157,6545,72880,153,7852,89827,145,2121,19964,135,68,364,287,83,1163,254,27,352,261,21,242,270,7497,80029,158,5571,59960,161,11575
37,27120,266592,153,11812,94420,125,1865,12924,113,1287,9676,103,1619,11472,106,546,4913,249,921,6383,113,950,7696,123,315,2458,115,147,1161,124,1150,8380,111,1262,9528,113,11756
38,36528,244505,102,8455,45131,77,1799,9750,85,1355,6308,62,1422,5131,62,764,3469,86,1601,7992,81,781,5287,98,305,2086,101,161,1058,94,812,4312,76,1075,6020,79,12010
39,45360,472185,162,19776,199582,155,18624,165896,130,16896,156816,149,27472,232333,123,4189,42321,161,160,746,81,391,3756,144,112,1068,154,70,657,155,12207,136932,175,9460,105689,177,12117
40,31136,172960,82,4863,24413,74,2221,9849,67,1374,7041,67,1183,6429,100,529,1611,34,883,4552,73,570,3335,84,208,1274,87,101,582,80,663,3053,73,1000,4582,66,12327
