,FS-H,FS-A,FS-W,SS-H,SS-A,SS-W,FL1-H,FL1-A,FL1-W,FL2-H,FL2-A,FL2-W,FL3-H,FL3-A,FL3-W,FL4-H,FL4-A,FL4-W,FL5-H,FL5-A,FL5-W,FL6-H,FL6-A,FL6-W,FL7-H,FL7-A,FL7-W,FL8-H,FL8-A,FL8-W,FL9-H,FL9-A,FL9-W,FL10-H,FL10-A,FL10-W,Time
0,36320,517846,237,19648,296870,246,7601,109981,257,6401,89455,277,10774,128598,187,2419,32565,324,1132,6559,89,320,4906,254,310,2942,118,157,1504,108,4984,73349,293,3862,61025,293,17
1,31040,226553,111,14000,83216,90,7301,38848,73,4547,28738,93,4281,26522,99,1571,6397,44,2479,12683,74,737,5434,108,581,4132,105,291,1926,97,1620,10021,94,1950,11705,88,27
2,27808,191598,104,6305,38879,93,3689,18740,68,1510,10279,125,1813,9693,98,763,2937,82,1907,9773,75,175,1148,98,378,2344,88,179,1099,92,870,5298,89,1117,6347,85,27
3,27920,233580,137,4099,26681,99,5678,34893,93,3846,22040,94,4401,24290,61,1544,7036,41,2576,12097,66,632,4821,114,627,4075,96,298,1943,92,1201,8373,110,1595,10929,106,52
4,52608,1048575,390,43056,749539,303,11887,234382,364,8243,164026,379,10157,199605,375,2871,45741,317,3121,42356,337,797,13162,294,872,11951,290,432,5820,288,8359,140735,333,7226,130271,340,106
5,33632,209283,93,6009,30304,74,4386,21655,77,3544,15678,61,3719,18538,63,778,3100,45,1085,6334,98,286,1744,86,398,2400,88,226,1344,83,1170,6282,78,1346,7550,84,117
6,26960,185331,105,4389,25022,85,2937,16167,84,1789,9404,81,2179,11177,72,738,2137,20,1158,5000,71,119,698,82,211,1278,87,109,645,91,862,5174,89,959,5653,87,121
7,28160,217243,123,13098,83116,95,6828,40316,86,4233,28287,106,3630,22208,96,1530,8087,70,1380,6473,68,189,1329,104,239,1623,98,135,798,81,1915,12013,93,1773,10935,92,156
8,26672,156451,87,4705,24022,75,4344,22828,83,3289,13274,54,2736,14205,74,705,3286,71,2007,9349,69,171,1029,87,415,2472,85,205,1217,82,1088,6047,81,1187,6213,75,178
9,41136,231480,83,5510,34971,95,10283,50786,72,5462,26480,74,8739,38954,54,2344,7852,38,2074,9510,65,392,2240,80,458,2728,85,228,1328,86,3385,16694,70,3443,17117,72,218
