,FS-H,FS-A,FS-W,SS-H,SS-A,SS-W,FL1-H,FL1-A,FL1-W,FL2-H,FL2-A,FL2-W,FL3-H,FL3-A,FL3-W,FL4-H,FL4-A,FL4-W,FL5-H,FL5-A,FL5-W,FL6-H,FL6-A,FL6-W,FL7-H,FL7-A,FL7-W,FL8-H,FL8-A,FL8-W,FL9-H,FL9-A,FL9-W,FL10-H,FL10-A,FL10-W,Time
0,29200,200896,105,3988,24718,92,1535,8233,80,935,4208,69,1321,6355,86,447,2071,95,499,1861,54,85,534,89,142,946,96,94,613,89,1177,6394,75,1174,6076,73,15
1,42560,620036,292,48256,653699,251,2081,21347,170,2166,16410,80,2018,18552,184,927,10330,193,90,575,125,25,229,131,21,170,210,15,108,348,6064,74738,196,4466,55213,196,61
2,29488,441711,267,13299,157752,173,4378,47048,175,2862,27208,167,3725,31948,123,1475,8766,46,4115,45089,154,706,8092,170,1282,15571,181,681,8163,178,1597,16878,145,2252,23633,147,65
3,36544,464691,209,43840,396459,117,7520,79387,178,3737,43099,189,5937,59023,141,3017,18380,138,4897,51459,173,920,10023,174,1570,17976,182,853,9660,178,3525,43505,210,3965,49742,210,89
4,37824,503516,256,76048,746002,112,1368,13279,175,1203,10366,120,2111,19160,162,737,5076,78,65,526,205,22,293,313,20,198,286,13,68,368,4710,48486,118,3516,35092,120,124
5,42272,313601,111,45184,285249,92,7580,51422,105,4475,29737,104,5480,32668,114,2503,9761,38,5494,35225,92,637,5084,118,1517,11537,111,796,6154,115,3688,24620,96,4618,28935,88,195
6,53968,503030,148,12312,110154,140,5729,54918,155,3906,37037,158,6259,51120,127,2124,13737,106,2685,23396,153,760,6563,134,803,8124,157,387,4001,162,7169,72364,156,5947,59456,158,221
7,30272,204324,104,6911,41244,85,2184,11342,66,1438,8273,86,1736,7807,57,643,2148,46,1743,7488,63,192,1230,91,281,1832,90,154,923,85,1197,7890,83,1130,6917,82,236
8,37104,259129,105,5381,42126,121,2681,17360,101,1919,12264,112,2112,13725,142,1060,5210,65,2051,9287,69,585,3638,87,589,3428,80,285,1691,85,2986,20871,108,2643,17968,102,267
9,50192,331234,98,6975,45130,93,3595,22698,85,2302,15685,88,3312,18092,92,1346,8248,116,1658,9811,90,283,1962,96,488,3259,96,273,1730,88,2253,17198,120,2128,15806,113,317
10,29664,173230,86,4557,26396,85,2086,11428,79,1012,4297,70,1669,7957,113,416,979,28,2054,9905,70,241,1457,88,498,2945,84,268,1585,86,928,5120,80,1093,5964,81,325
11,45904,477790,162,7651,77363,162,4639,48038,181,3450,30470,159,3787,32370,168,1501,14009,160,2967,25812,116,1113,9258,115,913,9339,150,438,4547,158,4125,43023,169,4163,43251,171,326
12,34720,410572,185,59744,463894,111,1339,8159,52,785,4812,96,950,6811,147,717,3185,133,45,172,205,118,423,26,193,380,18,108,176,15,2643,21177,116,1995,15692,115,326
13,77840,968684,191,36528,399344,162,11624,112022,143,7507,73139,131,11180,92008,115,4146,26614,78,5754,50904,123,878,9424,158,1714,17191,143,966,9683,143,10002,130958,212,9670,119284,196,329
14,38784,316461,126,17184,117647,91,4213,36037,133,2848,20100,132,3825,22639,114,1010,5640,126,2995,22052,112,361,3468,143,788,7343,144,423,3869,140,1811,17132,149,2118,18638,135,411
15,59488,637187,162,14656,155207,166,10018,91316,130,6158,59236,153,8146,68442,142,2692,22002,133,5400,42323,113,771,7324,141,1468,14400,144,797,7853,146,6669,67248,160,7260,67112,143,411
16,28432,309124,189,8149,74330,150,4079,34225,159,2439,22173,164,3203,24336,150,1569,8258,36,2245,20094,177,588,4921,109,723,6975,170,356,3681,179,2095,21162,160,2312,23999,168,414
17,46336,528546,182,211696,1048575,155,3919,44801,198,2519,28542,213,4682,43827,164,1224,10684,180,74,733,251,44,547,240,30,409,260,19,214,282,11565,148431,214,8726,111359,215,416
18,29984,148640,71,16848,79414,69,932,3831,61,664,3336,71,1131,4065,54,756,3248,54,9,28,250,13,67,161,14,45,236,11,40,232,4227,18554,63,3387,14947,62,442
19,78352,1048575,351,99520,1048575,328,9998,279695,419,7509,177296,396,9506,227982,616,2500,66011,637,6891,148073,409,1590,40125,632,2182,53587,423,1133,27345,420,9708,299707,644,7325,256793,702,459
20,28176,491053,307,75088,821635,162,1788,17089,135,1225,10749,142,2913,17843,89,1105,7325,144,33,148,250,17,125,303,17,113,274,15,48,288,5765,64384,170,4511,48723,161,480
21,41696,277243,100,7280,43441,88,2550,17325,106,2191,10884,62,3411,15796,55,714,2541,36,2408,13246,81,259,1902,107,542,3839,103,306,2105,101,1256,8518,97,1710,10397,86,494
