,FS-H,FS-A,FS-W,SS-H,SS-A,SS-W,FL1-H,FL1-A,FL1-W,FL2-H,FL2-A,FL2-W,FL3-H,FL3-A,FL3-W,FL4-H,FL4-A,FL4-W,FL5-H,FL5-A,FL5-W,FL6-H,FL6-A,FL6-W,FL7-H,FL7-A,FL7-W,FL8-H,FL8-A,FL8-W,FL9-H,FL9-A,FL9-W,FL10-H,FL10-A,FL10-W,Time
0,31040,245263,125,5933,44720,119,3353,21596,92,2140,16620,119,2830,19496,81,1635,7418,83,2739,20867,121,499,4247,128,855,7041,122,471,3909,123,689,4761,116,921,6199,116,141
1,29488,198638,103,7352,41091,84,4259,18569,60,1943,10587,84,2706,12527,52,1037,4916,57,1786,8603,68,343,2374,101,518,3526,102,296,2029,104,631,3498,76,731,3861,69,231
2,50432,604442,200,19440,207556,178,11063,117589,176,7180,72734,166,10533,100297,149,3839,31734,122,11345,121846,181,1859,22134,186,3782,45017,188,1989,23657,188,1516,16314,182,2268,24275,175,270
3,40912,455352,163,23008,190549,116,7609,67860,124,5074,43608,110,9014,53992,78,2909,17881,95,4948,37374,121,1024,8878,122,1788,14608,118,970,7801,119,2375,32906,232,2661,34499,211,286
4,34320,476067,227,14864,154642,157,5154,50781,138,3771,34617,132,4332,41105,173,2479,14244,48,6090,46174,124,974,9447,147,1850,16873,136,962,8964,139,1190,14419,198,1665,19047,194,287
5,32016,289341,143,5464,56890,163,4226,32023,127,3053,21715,125,3321,25173,146,1035,9130,171,3740,27577,109,525,4944,153,1039,9767,151,548,5185,149,1146,8670,122,1466,11041,118,295
6,30736,348277,183,15536,157790,160,9777,96308,162,6443,63836,165,7505,70412,159,2604,22390,121,8545,88553,185,1818,20833,188,3758,43446,188,2065,24026,190,1428,14281,168,2171,21729,169,311
7,26928,176680,99,3359,17856,80,2887,14345,82,2488,9942,42,3990,12203,36,916,3545,63,2755,16077,87,420,2775,98,788,5160,95,414,2724,97,518,2550,69,780,3946,72,386
8,26672,181574,103,4552,24960,81,3713,20323,82,2341,13320,91,4650,18604,48,821,5598,104,4154,23739,84,590,4176,104,1242,8536,101,649,4462,100,657,3821,88,1061,6037,83,389
9,37856,591831,271,27904,250212,128,7996,101451,203,5578,71381,214,7207,78090,169,1967,21367,264,4668,54478,210,1349,17148,200,2603,30293,177,1476,17353,175,1565,20696,208,1873,24439,203,395
10,37120,217355,87,9328,45566,69,6066,29499,69,3509,18993,82,7734,30070,45,1691,6463,49,3882,18356,68,600,3825,91,940,5975,91,524,3280,91,1377,6710,70,1622,7862,68,514
11,28016,215859,109,4659,34203,125,1753,10961,64,1287,9243,122,2682,13746,79,623,2242,61,1866,9600,74,362,2370,89,551,3579,89,295,1955,88,606,3742,74,743,4424,73,514
12,47424,379050,116,11081,75593,94,4559,33605,109,2764,19605,115,4244,29220,140,1802,11999,85,4392,38536,156,536,6393,195,1211,13871,187,663,7281,179,1170,7711,92,1646,11297,100,536
13,61888,922145,307,56992,733490,218,16832,284981,313,10577,187978,310,12707,214743,313,4585,62001,313,7920,120943,310,2451,32251,238,5184,63010,237,2982,36886,238,5533,80179,244,6578,102054,271,591
14,29696,189970,98,4374,23670,79,4524,21021,69,2860,12542,61,3068,13642,82,512,2125,111,3276,16863,76,463,2898,91,915,5806,91,486,3106,93,711,3521,71,942,4754,71,694
15,29504,291421,160,9725,68530,107,6913,51159,114,3691,28623,117,5224,39262,116,1949,12152,105,6498,48961,120,964,8083,126,1815,15311,126,940,7928,129,926,7044,120,1375,9772,111,708
16,48256,622054,207,34672,345163,148,10095,124355,219,7478,91572,205,9524,108695,198,2676,32519,241,4649,43914,122,1517,18504,198,2624,28475,153,1494,16561,158,3796,38103,139,3954,42898,158,721
