,FS-H,FS-A,FS-W,SS-H,SS-A,SS-W,FL1-H,FL1-A,FL1-W,FL2-H,FL2-A,FL2-W,FL3-H,FL3-A,FL3-W,FL4-H,FL4-A,FL4-W,FL5-H,FL5-A,FL5-W,FL6-H,FL6-A,FL6-W,FL7-H,FL7-A,FL7-W,FL8-H,FL8-A,FL8-W,FL9-H,FL9-A,FL9-W,FL10-H,FL10-A,FL10-W,Time
0,35888,326562,115,5261,33483,82,1646,11972,82,1225,7100,40,2110,10648,111,1940,12102,66,515,3018,72,11338,83445,86,3670,27538,88,1769,13551,89,1072,11409,162,856,9382,170,21
1,54848,600389,125,9276,97866,114,3652,45447,161,3230,39757,159,5740,58701,135,4663,52539,197,1072,10868,99,21568,272053,158,7003,86689,153,3690,45744,153,2251,29629,164,1506,19859,179,27
2,44800,662901,229,6942,137127,430,3770,63474,382,3968,51899,184,7974,65566,47,4410,70444,398,812,12916,357,15952,332357,431,5034,104572,431,2657,54763,431,2669,44003,232,1891,29680,216,27
3,33680,496878,241,5092,75181,242,1692,25813,264,1666,17479,162,1869,22922,244,2251,26906,306,265,3443,254,9345,146959,275,3023,46825,272,1587,24416,269,1238,17097,229,847,11473,220,27
4,36688,435222,176,2050,36573,338,2142,26040,197,1516,18964,201,2658,29930,262,2403,25016,169,372,3346,179,8647,132534,258,3014,44626,246,1553,23291,243,2930,30688,143,2447,23730,130,27
5,27600,416281,315,6245,89675,200,3409,38586,231,3167,35234,133,5882,52961,139,3582,42037,242,523,7348,259,12632,206834,296,4170,65868,251,2192,34645,251,1727,26137,259,1321,18416,205,27
6,59776,861177,248,14704,211127,227,7558,98959,207,7527,89656,181,10407,131097,205,6807,69706,135,934,10530,136,21264,252925,160,6868,81879,164,3600,43049,161,4616,64358,226,3751,52223,220,98
7,32672,354913,116,3130,44386,399,2019,21865,308,1324,16646,396,2145,18478,380,2040,19782,350,411,4135,146,9426,133852,400,2897,41199,400,1488,21416,400,1282,13283,183,813,8741,183,98
8,29136,1048575,930,8094,308933,650,4279,151239,917,4160,122066,575,5336,159790,620,4899,167610,961,952,30948,809,19792,780446,851,6545,254585,843,3426,133030,843,3175,114409,620,2073,77940,643,98
9,37712,494836,194,4536,77369,291,2905,35108,154,2724,27969,102,3578,37672,126,3727,44570,163,538,6809,215,15328,215687,183,4998,69080,179,2599,35982,178,2092,26245,147,1462,16965,131,103
