,FS-H,FS-A,FS-W,SS-H,SS-A,SS-W,FL1-H,FL1-A,FL1-W,FL2-H,FL2-A,FL2-W,FL3-H,FL3-A,FL3-W,FL4-H,FL4-A,FL4-W,FL5-H,FL5-A,FL5-W,FL6-H,FL6-A,FL6-W,FL7-H,FL7-A,FL7-W,FL8-H,FL8-A,FL8-W,FL9-H,FL9-A,FL9-W,FL10-H,FL10-A,FL10-W,Time
0,30688,195850,96,10122,58307,86,1471,8587,92,1441,5961,55,2023,10457,77,1626,6464,77,180,628,43,3190,20777,95,897,5786,94,438,2801,94,397,2348,78,413,2362,81,1
1,28080,225447,136,4123,35066,150,1578,8357,68,823,5132,97,956,5720,136,860,4471,124,128,809,111,2310,19353,135,663,5499,137,325,2691,134,396,2475,73,422,2745,77,1
2,30224,228288,92,3650,26631,94,944,7847,341,674,4468,87,1172,6324,94,737,3296,277,168,790,73,2163,17878,110,611,4972,109,305,2337,105,315,2214,308,350,2111,68,1
3,38048,197095,76,5442,26236,70,1494,5951,60,1023,3933,63,1823,7062,56,759,2154,49,203,741,60,2756,16116,86,783,4520,84,393,2198,84,431,1966,62,399,1727,65,1
4,28768,163033,84,3508,20073,83,1262,6639,86,963,4075,34,1008,4571,79,1186,4066,56,111,478,71,2212,13198,86,623,3572,85,292,1700,86,361,1933,79,342,1940,84,2
5,28480,189907,104,4566,24604,77,1062,6498,101,757,3435,89,947,5778,338,418,2414,322,110,549,81,2165,14584,97,620,4102,97,296,1966,96,410,2014,75,371,2140,87,3
6,26416,214715,160,4775,41206,173,1311,10069,178,703,5475,188,1062,6779,157,603,4280,198,118,867,173,2404,20445,95,713,5832,95,343,2749,90,343,2485,170,409,2845,163,4
7,28560,366055,242,6182,56934,81,1149,15145,232,773,8617,205,1273,8012,182,879,5840,157,110,1090,202,2553,35871,244,733,10069,241,358,4842,244,294,3941,262,309,4518,266,4
8,29312,278782,160,5685,47681,100,1615,15711,99,1192,8671,68,1412,10389,159,955,7812,184,177,1305,151,3108,28524,126,867,8039,131,429,3830,125,435,4494,170,479,4660,168,5
9,34720,400067,249,8548,88672,153,1631,14949,154,1215,9518,149,1760,8928,73,1631,8995,56,270,1706,92,4419,42902,142,1299,12190,140,664,6035,135,395,3758,235,459,4304,238,5
10,27232,298362,302,3830,39605,305,907,10050,305,684,6561,295,677,7264,303,871,6989,311,107,861,183,2151,26143,304,631,7376,301,304,3529,296,197,2479,333,235,2908,320,5
11,34896,214072,92,4881,28939,89,1229,7502,97,778,3932,65,824,3056,82,1363,4583,31,130,525,83,2444,16866,101,704,4625,97,350,2253,96,309,1526,67,350,1862,78,6
12,26560,140806,77,4757,23439,71,1467,6877,66,900,3360,53,875,4971,128,597,1689,39,60,210,77,1512,8843,84,423,2406,82,211,1166,83,243,1013,56,295,1325,67,6
13,29184,167902,81,6343,31333,69,1774,9498,340,1469,5660,43,2119,9650,45,942,3539,42,162,783,336,2511,15598,83,697,4273,82,333,1984,82,503,2344,63,550,2647,67,6
14,27232,160700,87,4730,24223,74,1167,5444,67,898,4672,73,1893,7109,50,386,1707,104,81,414,91,1862,11231,87,521,3041,84,264,1434,81,350,2233,95,394,2249,83,6
15,26400,136904,76,5727,26563,66,1412,6435,69,1096,4673,54,1012,3960,47,1037,3169,46,152,472,48,2580,14650,82,745,4160,80,364,1966,80,347,1471,60,430,1712,56,6
16,28464,249668,89,4643,35020,89,1005,7414,235,1040,5448,75,1157,6322,215,1035,4744,247,150,787,64,1918,18334,167,519,4815,167,244,2226,166,259,2058,92,294,2363,230,7
17,27664,164743,85,2999,17429,82,830,4927,355,590,3343,96,590,2092,35,521,1734,47,130,557,364,1804,11429,90,521,3175,88,258,1504,85,185,1431,136,233,1545,90,7
18,28112,164499,86,3896,22680,85,1042,5747,77,505,2939,81,898,3108,54,515,2432,102,139,756,65,2084,12991,90,590,3585,90,297,1717,84,202,1332,93,221,1205,82,8
19,26896,186378,90,2168,17754,144,1262,6810,108,1056,4487,43,737,4407,375,951,4718,141,144,918,130,2952,20041,89,828,5574,89,409,2682,87,309,1486,58,323,1757,73,8
20,29744,209450,93,4406,26596,78,1315,6243,55,816,4074,91,1096,4241,55,711,4188,119,104,555,95,2817,20211,97,796,5662,97,399,2740,92,281,1769,87,366,1922,75,8
21,35808,484423,209,7775,100147,229,1931,23409,240,1194,14201,209,2112,19641,222,1593,13889,231,201,1557,244,3188,45429,230,915,12740,228,445,6134,222,647,8582,240,618,8604,245,8
22,34160,269371,94,5489,39664,80,1129,8607,151,1128,5461,51,1446,8924,136,1728,6660,35,148,710,70,2856,24125,109,829,6805,106,396,3237,106,387,2285,73,481,2683,69,9
23,28000,211916,77,3938,23940,69,939,6780,253,648,4538,109,1237,7728,276,747,3939,85,165,632,55,2187,18019,91,607,4752,88,301,2291,89,332,1736,58,362,2209,224,9
24,28704,253017,83,4118,31742,69,1246,8331,75,1091,6118,80,766,4752,141,590,2024,33,85,567,323,2370,20483,88,714,5879,82,339,2768,95,417,2674,67,420,2907,71,9
25,32736,317893,116,5768,62697,260,1720,15346,255,1320,10197,106,2285,14031,86,1802,8226,38,148,833,74,2683,26375,114,760,7249,110,380,3510,109,428,3795,118,467,3766,108,9
26,27264,257601,142,6468,56544,126,1842,17273,126,1399,11920,142,1965,20168,167,922,4908,80,93,446,138,1537,12966,136,437,3618,134,207,1661,133,665,6796,141,638,6175,131,10
27,30896,279891,172,5344,48251,182,1584,10278,145,689,5774,180,1493,6770,183,495,3669,171,140,901,142,2224,22234,186,645,6348,187,319,3124,184,359,2450,63,430,2704,57,11
28,27568,164540,88,2910,16404,81,1027,6654,103,1173,4375,43,1868,7481,47,776,3673,68,127,606,73,2321,13955,86,658,3972,86,313,1903,89,333,2061,82,376,2130,83,11
29,27152,203169,76,4749,27779,68,1605,8839,61,1053,5053,58,1309,4772,58,568,3264,311,165,724,54,2327,18046,89,645,4734,89,319,2236,86,481,2131,48,498,2409,56,11
30,26480,273615,325,4324,44615,330,1390,11876,332,848,6673,311,1477,10585,345,876,5228,343,110,938,348,1749,20908,335,478,5593,335,231,2640,333,401,3137,321,462,3309,309,13
31,27376,262312,153,15232,96817,79,1698,14265,349,1203,8167,68,1527,8418,56,1810,7488,28,166,1125,153,3162,28149,132,905,7906,133,442,3838,133,460,3217,76,514,3834,89,13
32,28336,160492,78,4248,22873,69,847,5754,349,630,3962,82,492,1893,41,1198,3924,41,188,771,310,2467,15526,86,691,4339,88,342,2062,87,330,1365,53,349,1451,52,14
33,30480,183007,90,3905,23041,90,1213,6801,87,1310,4900,54,1047,3712,41,564,2785,96,208,978,81,2804,17771,92,804,5105,93,391,2439,94,321,1743,71,365,1863,76,14
34,26592,310927,211,8138,69305,78,1330,13852,131,1035,9976,155,1277,12348,290,905,7345,168,187,1264,191,2061,28312,242,588,7815,238,293,3782,234,382,3800,172,334,3754,181,14
35,29616,223352,119,3023,21815,112,1169,5932,84,698,3982,88,1011,3865,56,591,2420,107,209,730,39,2394,18253,115,699,5168,117,336,2451,115,234,1459,97,264,1651,97,14
36,27328,208121,258,2968,25317,278,990,7782,257,635,3115,317,534,6092,347,785,3124,68,138,649,239,2522,21484,268,696,5974,270,360,2878,265,346,2006,52,342,2100,64,14
37,28816,222879,87,5052,35562,280,1162,8342,304,752,6138,308,914,5804,261,1331,4459,24,126,640,67,2285,20241,99,620,5524,102,309,2647,98,488,2985,276,467,2988,283,15
