Classes,precision,recall,f1-score,support
1,0.9,0.91,0.9,220
2,1.0,0.95,0.97,1741
3,0.69,0.88,0.77,245
4,0.92,0.67,0.78,85
5,0.99,0.88,0.93,3316
6,0.44,0.89,0.59,9
7,0.61,0.85,0.71,46
8,0.47,0.91,0.62,64
9,0.99,0.97,0.98,1949
10,0.8,0.94,0.86,127
11,0.99,0.99,0.99,3403
12,0.99,0.99,0.99,1920
13,0.87,0.91,0.89,856
14,0.81,0.81,0.81,48
15,0.24,0.69,0.36,13
16,0.61,0.97,0.75,467
17,0.99,0.97,0.98,1730
18,0.99,0.99,0.99,2336
19,0.94,0.95,0.95,936
20,0.79,0.95,0.86,95
21,0.88,0.73,0.8,86
22,0.0,0.0,0.0,0
23,0.88,0.96,0.92,54
24,0.88,0.85,0.87,254
avg/total,0.96,0.95,0.95,20000
