Classes,precision,recall,f1-score,support
1,0.87,0.78,0.82,248
2,0.99,0.97,0.98,1699
3,0.82,0.85,0.84,304
4,0.58,0.49,0.53,74
5,0.99,0.94,0.97,3095
6,0.22,1.0,0.36,4
7,0.25,0.64,0.36,25
8,0.62,0.84,0.71,90
9,0.99,0.98,0.99,1925
10,0.93,0.95,0.94,146
11,1.0,1.0,1.0,3415
12,1.0,0.99,0.99,1919
13,0.91,0.95,0.93,865
14,0.25,0.35,0.29,34
15,0.0,0.0,0.0,2
16,0.91,0.95,0.93,709
17,0.99,0.99,0.99,1715
18,0.99,1.0,1.0,2334
19,0.94,0.95,0.95,944
20,0.89,0.98,0.94,104
21,0.42,0.57,0.48,53
22,0.0,0.0,0.0,0
23,0.83,0.88,0.85,56
24,0.88,0.89,0.89,240
avg/total,0.97,0.97,0.97,20000
