,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,18.0,19.0,21.0,16.0,19.0,20.0,14.0,18.0,19.0,19.0,17.0,19.0,16.0,19.0
2,17.0,20.0,21.0,17.0,21.0,17.0,17.0,18.0,17.0,21.0,19.0,17.0,17.0,20.0
3,17.0,21.0,21.0,17.0,20.0,21.0,15.0,18.0,18.0,22.0,18.0,18.0,17.0,20.0
4,16.0,21.0,21.0,18.0,22.0,19.0,15.0,19.0,19.0,21.0,18.0,21.0,20.0,21.0
5,16.0,22.0,21.0,19.0,21.0,19.0,17.0,20.0,21.0,21.0,19.0,19.0,19.0,21.0
6,18.0,19.0,21.0,19.0,18.0,19.0,16.0,21.0,20.0,23.0,18.0,17.0,19.0,19.0
7,18.0,19.0,21.0,17.0,24.0,20.0,16.0,19.0,20.0,21.0,19.0,22.0,19.0,19.0
8,18.0,18.0,21.0,18.0,22.0,20.0,17.0,18.0,20.0,20.0,19.0,19.0,20.0,19.0
9,19.0,22.0,21.0,17.0,23.0,18.0,15.0,19.0,21.0,21.0,20.0,21.0,19.0,19.0
10,18.0,19.0,22.0,19.0,16.0,22.0,15.0,19.0,21.0,19.0,17.0,21.0,19.0,19.0
11,16.0,20.0,21.0,19.0,20.0,21.0,18.0,18.0,22.0,20.0,21.0,18.0,17.0,21.0
12,17.0,16.0,23.0,16.0,21.0,20.0,16.0,18.0,18.0,21.0,19.0,18.0,17.0,16.0
13,18.0,22.0,24.0,18.0,23.0,19.0,17.0,20.0,20.0,21.0,19.0,17.0,19.0,21.0
14,18.0,17.0,24.0,18.0,20.0,24.0,16.0,21.0,18.0,20.0,18.0,20.0,17.0,19.0
