,0,label
0,CD4 T 01,11
1,CD4 T 01,11
2,CD8 T 04,23
3,CD4 T 01,11
4,CD4 T 14,16
5,CD4 T 01,11
6,CD8 T 05,24
7,CD4 T 01,11
8,CD8 T 06,25
9,B Cells 02,1
10,Myeloid 03,43
11,Myeloid 03,43
12,Myeloid 03,43
13,Myeloid 03,43
14,CD8 T 05,24
15,CD8 T 08,27
16,CD4 T 01,11
17,CD8 T 01,22
18,CD4 T 16,18
19,Myeloid 03,43
20,CD4 T 01,11
21,CD8 T 08,27
22,CD4 T 16,18
23,CD4 T 06,12
24,ILCs 18,40
25,ILCs 03,34
26,CD8 T 05,24
27,CD4 T 01,11
28,Myeloid 03,43
29,CD4 T 01,11
30,B Cells 19,8
31,CD8 T 08,27
32,TCRgd 03,56
33,ILCs 03,34
34,CD8 T 05,24
35,B Cells 12,5
36,Myeloid 03,43
37,CD8 T 01,22
38,CD8 T 06,25
39,CD8 T 07,26
40,CD8 T 05,24
41,CD4 T 01,11
42,CD4 T 12,15
43,Myeloid 03,43
44,CD4 T 14,16
45,CD4 T 01,11
46,Myeloid 03,43
47,CD8 T 07,26
48,Myeloid 03,43
49,CD4 T 16,18
50,CD4 T 06,12
51,ILCs 19,41
52,CD4 T 08,13
53,CD4 T 14,16
54,Myeloid 03,43
55,CD8 T 08,27
56,CD4 T 14,16
57,Myeloid 03,43
58,CD8 T 01,22
59,Others 11,53
60,CD8 T 01,22
61,B Cells 12,5
62,Others 11,53
63,CD8 T 01,22
64,CD4 T 12,15
65,Myeloid 03,43
66,CD4 T 14,16
67,CD4 T 18,20
68,ILCs 09,36
69,CD4 T 14,16
70,Myeloid 03,43
71,CD8 T 01,22
72,CD4 T 01,11
73,CD8 T 17,30
74,CD4 T 06,12
75,CD4 T 01,11
76,B Cells 05,3
77,CD8 T 08,27
78,CD4 T 06,12
79,B Cells 05,3
80,CD4 T 01,11
81,Myeloid 03,43
82,CD4 T 01,11
83,CD8 T 07,26
84,CD4 T 01,11
85,Myeloid 03,43
86,CD4 T 16,18
87,CD4 T 14,16
88,CD8 T 01,22
89,CD4 T 14,16
90,CD4 T 01,11
91,CD8 T 01,22
92,CD4 T 01,11
93,Others 11,53
94,CD8 T 05,24
95,CD8 T 07,26
96,B Cells 05,3
97,ILCs 19,41
98,CD4 T 06,12
99,CD4 T 01,11
100,TCRgd 01,54
101,ILCs 19,41
102,CD8 T 01,22
103,CD4 T 14,16
104,CD4 T 01,11
105,Myeloid 03,43
106,Myeloid 03,43
107,CD8 T 01,22
108,B Cells 12,5
109,CD4 T 11,14
110,Myeloid 20,47
111,Myeloid 03,43
112,CD8 T 07,26
113,CD8 T 05,24
114,CD4 T 11,14
115,CD4 T 06,12
116,Myeloid 03,43
117,CD8 T 01,22
118,CD4 T 16,18
119,CD4 T 14,16
120,TCRgd 01,54
121,CD8 T 01,22
122,CD4 T 01,11
123,CD4 T 01,11
124,ILCs 19,41
125,CD8 T 07,26
126,B Cells 12,5
127,CD4 T 06,12
128,CD8 T 08,27
129,ILCs 09,36
130,CD4 T 06,12
131,CD4 T 01,11
132,CD4 T 01,11
133,Myeloid 03,43
134,CD8 T 07,26
135,CD4 T 15,17
136,ILCs 09,36
137,CD4 T 15,17
138,Myeloid 03,43
139,CD8 T 06,25
140,CD4 T 06,12
141,B Cells 19,8
142,ILCs 02,33
143,CD4 T 01,11
144,CD4 T 01,11
145,CD8 T 07,26
146,CD4 T 06,12
147,B Cells 19,8
148,CD8 T 01,22
149,CD8 T 08,27
150,B Cells 05,3
151,CD8 T 01,22
152,CD8 T 17,30
153,CD8 T 05,24
154,CD4 T 14,16
155,CD4 T 12,15
156,CD4 T 06,12
157,B Cells 05,3
158,CD8 T 01,22
159,Myeloid 03,43
160,CD4 T 12,15
161,TCRgd 02,55
162,CD4 T 01,11
163,CD8 T 07,26
164,CD8 T 01,22
165,Myeloid 03,43
166,CD8 T 07,26
167,CD4 T 08,13
168,CD8 T 01,22
169,Myeloid 10,44
170,ILCs 16,39
171,CD4 T 01,11
172,B Cells 05,3
173,CD8 T 07,26
174,CD4 T 14,16
175,CD8 T 01,22
176,Others 11,53
177,TCRgd 03,56
178,ILCs 19,41
179,CD8 T 08,27
180,CD8 T 05,24
181,CD8 T 01,22
182,B Cells 05,3
183,CD8 T 01,22
184,CD4 T 01,11
185,CD8 T 01,22
186,CD4 T 14,16
187,CD4 T 18,20
188,ILCs 16,39
189,ILCs 16,39
190,B Cells 16,7
191,Myeloid 03,43
192,B Cells 12,5
193,CD8 T 05,24
194,Myeloid 03,43
195,CD4 T 01,11
196,B Cells 16,7
197,CD8 T 01,22
198,CD4 T 01,11
199,CD4 T 01,11
200,CD4 T 01,11
201,CD4 T 01,11
202,CD4 T 14,16
203,CD4 T 01,11
204,CD4 T 01,11
205,ILCs 19,41
206,CD4 T 14,16
207,ILCs 19,41
208,CD4 T 01,11
209,CD4 T 01,11
210,Myeloid 03,43
211,Myeloid 03,43
212,CD4 T 01,11
213,CD4 T 01,11
214,CD4 T 17,19
215,CD8 T 01,22
216,ILCs 16,39
217,Myeloid 03,43
218,CD4 T 01,11
219,CD8 T 07,26
220,CD4 T 01,11
221,CD4 T 08,13
222,CD8 T 01,22
223,ILCs 16,39
224,Myeloid 20,47
225,CD8 T 07,26
226,ILCs 19,41
227,CD4 T 01,11
228,CD4 T 01,11
229,Myeloid 21,48
230,CD4 T 14,16
231,CD4 T 12,15
232,CD8 T 08,27
233,CD4 T 11,14
234,ILCs 19,41
235,CD4 T 08,13
236,CD4 T 01,11
237,CD4 T 08,13
238,ILCs 16,39
239,CD4 T 01,11
240,Others 01,49
241,CD8 T 01,22
242,CD4 T 15,17
243,CD4 T 14,16
244,CD4 T 01,11
245,Myeloid 03,43
246,Myeloid 03,43
247,ILCs 19,41
248,CD8 T 01,22
249,CD4 T 17,19
250,CD8 T 08,27
251,CD8 T 07,26
252,CD4 T 01,11
253,CD8 T 01,22
254,CD4 T 01,11
255,CD8 T 08,27
256,Myeloid 10,44
257,CD4 T 01,11
258,CD4 T 01,11
259,CD8 T 01,22
260,CD4 T 01,11
261,CD4 T 12,15
262,CD8 T 01,22
263,CD4 T 01,11
264,Others 11,53
265,CD4 T 14,16
266,CD4 T 01,11
267,ILCs 16,39
268,CD4 T 06,12
269,CD8 T 07,26
270,CD8 T 08,27
271,CD4 T 01,11
272,CD4 T 01,11
273,CD4 T 14,16
274,Myeloid 03,43
275,CD4 T 01,11
276,ILCs 19,41
277,CD8 T 07,26
278,CD4 T 18,20
279,ILCs 18,40
280,CD4 T 12,15
281,CD4 T 19,21
282,CD4 T 01,11
283,CD4 T 01,11
284,CD4 T 17,19
285,CD8 T 01,22
286,ILCs 03,34
287,CD8 T 01,22
288,CD8 T 04,23
289,Others 11,53
290,CD8 T 01,22
291,CD4 T 14,16
292,Myeloid 03,43
293,CD8 T 06,25
294,CD4 T 01,11
295,CD4 T 15,17
296,CD8 T 08,27
297,Others 02,50
298,ILCs 19,41
299,CD8 T 01,22
300,Myeloid 03,43
301,CD8 T 01,22
302,CD8 T 07,26
303,CD8 T 08,27
304,CD8 T 07,26
305,TCRgd 03,56
306,ILCs 09,36
307,Others 01,49
