,WRS,P,Q
0,57.0,0.0313804887274039,0.05906915525158381
1,31.0,0.0011233503767113771,0.005991202009127345
2,58.0,0.03476707536671896,0.06180813398527815
3,41.0,0.004715200450912101,0.01371694676628975
4,31.0,0.0011233503767113771,0.005991202009127345
5,84.0,0.2675322272391032,0.30575111684468936
6,74.5,0.1452691937778126,0.1931161410206704
7,47.0,0.010160763705528715,0.023224602755494206
8,46.0,0.008983305403777751,0.022112751763145234
9,33.5,0.001635487556775251,0.006541950227101004
10,37.0,0.002719329219994035,0.009668726115534347
11,86.0,0.2986114513961823,0.32950229119578733
12,87.0,0.3147429271583916,0.335725788968951
13,11.0,3.518692385667655e-05,0.0005629907817068248
14,29.0,0.000821177659056218,0.005991202009127345
15,45.0,0.007898446343901628,0.021062523583737672
16,72.0,0.1206656211132241,0.17507725341284064
17,36.5,0.001357354518088243,0.006205049225546253
18,52.0,0.018255436004239203,0.03894493014237697
19,76.5,0.1665673359370548,0.205005951922529
20,93.5,0.42704932581212124,0.44082511051573803
21,0.0,3.6700288787748797e-06,0.00011744092412079615
22,73.0,0.1258367758904792,0.17507725341284064
23,53.0,0.020388428387476804,0.04077685677495361
24,68.0,0.0874292553518855,0.1332255319647779
25,46.5,0.003064269604878378,0.00980566273561081
26,64.0,0.04920797508022154,0.08287658960879417
27,27.0,0.00041522978878428505,0.004429117747032374
28,97.5,0.5,0.5
29,66.5,0.0753279468758465,0.1205247150013544
30,84.0,0.2633144510176868,0.30575111684468936
31,75.5,0.15087198517239875,0.1931161410206704
