,WRS,P,Q
0,32.5,0.0014067288948701505,0.005626915579480602
1,46.0,0.008983305403777751,0.028274981695978092
2,28.0,0.0007031283771640633,0.0049416113760403875
3,29.0,0.0008236018960067311,0.0049416113760403875
4,19.0,0.0001549427537712516,0.002788969567882529
5,76.0,0.16160690553999324,0.23271394397759027
6,93.0,0.4180968674112305,0.4561056735395242
7,48.0,0.011470668477471024,0.03176492809145822
8,60.5,0.04453755220696585,0.08016759397253852
9,50.5,0.015381217959847251,0.034125179374254994
10,96.0,0.4725260443442481,0.4908343159714798
11,30.5,0.0010373078765108378,0.005334726222055737
12,86.0,0.2985863599749764,0.3834384774065635
13,29.0,0.0008236018960067311,0.0049416113760403875
14,79.5,0.20406994956051594,0.2720932660806879
15,51.0,0.016114668037842634,0.034125179374254994
16,69.0,0.0951506842584735,0.14893150579587158
17,50.0,0.014524773116691638,0.034125179374254994
18,62.5,0.05351347706073173,0.09173738924696867
19,98.0,0.4908343159714798,0.4908343159714798
20,81.0,0.1939865076648296,0.26859670292053334
21,0.0,3.680615476024987e-06,0.00013250215713689952
22,51.5,0.013769338998083145,0.034125179374254994
23,92.5,0.40879121452243883,0.4561056735395242
24,32.5,0.001341783514464543,0.005626915579480602
25,75.0,0.1501788169205211,0.22526822538078164
26,53.5,0.021532318519052164,0.04306463703810433
27,91.5,0.37937006752457236,0.44055878809305177
28,29.0,0.0007971869661884867,0.0049416113760403875
29,36.0,0.0018155515824472756,0.006535985696810192
30,97.0,0.4907989918136685,0.4908343159714798
31,62.0,0.04016599990985711,0.07610399982920293
32,67.5,0.081928643518623,0.134065053030474
33,87.5,0.3195320645054696,0.3834384774065635
34,47.0,0.009424993898659364,0.028274981695978092
35,92.0,0.31890730097372255,0.3834384774065635
