Classes,precision,recall,f1-score,support
0,0.47,0.21,0.29,1944.0
1,0.58,0.35,0.44,1522.0
2,0.3,0.21,0.25,325.0
3,0.71,0.94,0.81,14540.0
4,0.57,0.04,0.08,707.0
5,0.65,0.71,0.68,3101.0
6,0.79,0.45,0.57,1208.0
7,0.46,0.4,0.42,768.0
8,0.59,0.56,0.57,3970.0
9,0.8,0.75,0.77,1057.0
10,0.86,0.0,0.01,1833.0
11,0.95,0.94,0.95,81156.0
12,0.69,0.81,0.75,23272.0
13,0.59,0.48,0.53,3189.0
14,0.63,0.32,0.42,1483.0
15,0.68,0.66,0.67,8573.0
16,0.77,0.79,0.78,12192.0
17,0.79,0.72,0.75,4610.0
18,0.56,0.54,0.55,3505.0
19,0.71,0.71,0.71,4285.0
20,0.72,0.54,0.62,3511.0
21,0.97,0.94,0.96,3558.0
22,0.97,0.96,0.96,27393.0
23,0.84,0.78,0.81,2895.0
24,0.68,0.82,0.74,7977.0
25,0.49,0.49,0.49,3189.0
26,0.67,0.73,0.7,4345.0
27,0.77,0.69,0.72,3539.0
28,0.65,0.57,0.61,529.0
29,0.68,0.7,0.69,1205.0
30,0.28,0.12,0.17,967.0
31,0.41,0.3,0.34,1447.0
32,0.87,0.5,0.63,923.0
33,0.45,0.44,0.45,1952.0
34,0.34,0.38,0.36,654.0
35,0.34,0.33,0.34,1325.0
36,0.51,0.8,0.62,4494.0
37,0.29,0.54,0.38,388.0
38,0.38,0.22,0.28,975.0
39,0.64,0.5,0.56,3361.0
40,0.64,0.42,0.51,2307.0
41,0.57,0.49,0.53,2567.0
42,0.18,0.03,0.05,63.0
43,0.7,0.93,0.8,8621.0
44,0.61,0.22,0.32,3636.0
45,0.59,0.77,0.67,1423.0
46,0.79,0.44,0.57,870.0
47,0.86,0.23,0.37,266.0
48,0.63,0.41,0.5,696.0
49,0.58,0.83,0.69,529.0
50,0.32,0.04,0.07,142.0
51,0.0,0.0,0.0,3.0
52,0.0,0.0,0.0,2.0
53,0.65,0.43,0.52,1404.0
54,0.84,0.7,0.77,1397.0
55,0.8,,,
