,0,label
0,Others 01,49
1,CD4 T 15,17
2,CD4 T 06,12
3,CD4 T 12,15
4,Others 01,49
5,CD4 T 01,11
6,CD4 T 17,19
7,CD4 T 15,17
8,CD4 T 06,12
9,CD4 T 12,15
10,CD4 T 14,16
11,CD4 T 14,16
12,CD4 T 06,12
13,CD8 T 07,26
14,CD4 T 14,16
15,CD8 T 01,22
16,CD4 T 17,19
17,CD8 T 01,22
18,CD4 T 12,15
19,Myeloid 03,43
20,CD4 T 12,15
21,CD4 T 06,12
22,CD4 T 17,19
23,CD4 T 01,11
24,CD8 T 01,22
25,CD4 T 01,11
26,ILCs 03,34
27,Myeloid 03,43
28,CD4 T 16,18
29,CD4 T 06,12
30,CD4 T 01,11
31,CD8 T 06,25
32,CD4 T 06,12
33,CD4 T 06,12
34,CD4 T 15,17
35,CD4 T 15,17
36,CD4 T 01,11
37,CD4 T 14,16
38,CD4 T 06,12
39,CD4 T 15,17
40,CD4 T 18,20
41,CD4 T 12,15
42,CD4 T 14,16
43,CD4 T 08,13
44,CD4 T 14,16
45,CD8 T 05,24
46,B Cells 05,3
47,CD8 T 05,24
48,CD4 T 06,12
49,CD4 T 01,11
50,CD4 T 01,11
51,CD4 T 16,18
52,CD8 T 01,22
53,CD4 T 08,13
54,CD8 T 01,22
55,CD8 T 01,22
56,CD8 T 01,22
57,CD4 T 17,19
58,Others 01,49
59,CD8 T 01,22
60,CD4 T 14,16
61,CD8 T 01,22
62,CD4 T 01,11
63,ILCs 16,39
64,CD4 T 01,11
65,CD4 T 01,11
66,CD4 T 08,13
67,B Cells 05,3
68,CD4 T 01,11
69,CD4 T 15,17
70,CD4 T 01,11
71,CD4 T 14,16
72,CD4 T 01,11
73,CD4 T 01,11
74,CD4 T 01,11
75,CD4 T 01,11
76,CD8 T 07,26
77,CD4 T 01,11
78,CD4 T 01,11
79,CD4 T 17,19
80,CD8 T 04,23
81,CD4 T 17,19
82,Myeloid 03,43
83,CD4 T 14,16
84,CD4 T 01,11
85,CD4 T 01,11
86,CD4 T 01,11
87,CD8 T 01,22
88,CD4 T 01,11
89,Others 11,53
90,Myeloid 03,43
91,CD4 T 01,11
92,CD4 T 01,11
93,Others 11,53
94,CD4 T 01,11
95,Myeloid 03,43
96,CD4 T 06,12
97,CD4 T 01,11
98,CD4 T 06,12
99,CD4 T 01,11
100,CD4 T 12,15
101,Myeloid 03,43
102,CD8 T 01,22
103,TCRgd 01,54
104,B Cells 05,3
105,CD4 T 01,11
106,CD8 T 08,27
107,CD8 T 01,22
108,CD4 T 06,12
109,CD4 T 01,11
110,CD4 T 14,16
111,CD4 T 18,20
112,Myeloid 03,43
113,Myeloid 21,48
114,CD4 T 06,12
115,CD4 T 01,11
116,CD4 T 01,11
117,CD4 T 06,12
118,CD4 T 01,11
119,CD4 T 17,19
120,CD4 T 01,11
121,CD4 T 14,16
122,CD4 T 11,14
123,CD4 T 12,15
124,CD4 T 06,12
125,CD4 T 01,11
126,CD4 T 17,19
127,CD8 T 01,22
128,B Cells 12,5
129,CD4 T 01,11
130,CD4 T 14,16
131,CD4 T 01,11
132,CD4 T 14,16
133,CD8 T 07,26
134,CD4 T 01,11
135,CD8 T 08,27
136,CD4 T 12,15
137,CD8 T 05,24
138,CD4 T 01,11
