,0,label
0,CD4 T 06,12
1,CD8 T 01,22
2,CD8 T 05,24
3,CD4 T 06,12
4,CD4 T 01,11
5,CD8 T 06,25
6,CD8 T 07,26
7,CD4 T 14,16
8,CD4 T 01,11
9,CD8 T 05,24
10,CD4 T 08,13
11,CD4 T 01,11
12,B Cells 05,3
13,CD4 T 08,13
14,TCRgd 02,55
15,CD8 T 01,22
16,CD4 T 01,11
17,CD4 T 06,12
18,CD4 T 01,11
19,CD4 T 17,19
20,B Cells 05,3
21,CD8 T 01,22
22,CD4 T 06,12
23,CD4 T 06,12
24,ILCs 16,39
25,CD4 T 14,16
26,CD4 T 01,11
27,CD4 T 01,11
28,CD4 T 15,17
29,CD8 T 07,26
30,CD4 T 15,17
31,Others 11,53
32,CD4 T 01,11
33,CD4 T 17,19
34,B Cells 05,3
35,Myeloid 03,43
36,B Cells 19,8
37,B Cells 05,3
38,B Cells 12,5
39,CD4 T 18,20
40,CD4 T 14,16
41,B Cells 05,3
42,CD4 T 06,12
43,CD4 T 12,15
44,TCRgd 02,55
45,Myeloid 03,43
46,CD4 T 01,11
47,CD4 T 06,12
48,CD8 T 01,22
49,CD8 T 01,22
50,CD4 T 14,16
51,CD4 T 06,12
52,CD4 T 01,11
53,B Cells 19,8
54,CD4 T 01,11
55,TCRgd 02,55
56,CD4 T 01,11
57,CD8 T 01,22
58,CD4 T 15,17
59,CD8 T 01,22
60,CD8 T 01,22
61,CD4 T 01,11
62,CD4 T 06,12
63,B Cells 05,3
64,CD8 T 01,22
65,ILCs 10,37
66,CD4 T 12,15
67,CD4 T 06,12
68,TCRgd 02,55
69,CD4 T 01,11
70,CD4 T 01,11
71,CD4 T 06,12
72,CD4 T 12,15
73,CD4 T 01,11
74,CD4 T 01,11
75,Myeloid 03,43
76,CD4 T 01,11
77,CD4 T 11,14
78,CD4 T 01,11
79,CD4 T 06,12
80,B Cells 12,5
81,CD4 T 06,12
82,ILCs 19,41
83,CD4 T 01,11
84,CD4 T 01,11
85,CD4 T 12,15
86,CD4 T 01,11
87,CD4 T 01,11
88,CD4 T 01,11
89,CD4 T 01,11
90,CD4 T 01,11
91,CD4 T 01,11
92,CD4 T 06,12
93,CD4 T 06,12
94,B Cells 12,5
95,CD4 T 06,12
96,CD8 T 08,27
97,CD4 T 01,11
98,CD4 T 01,11
99,CD8 T 05,24
100,CD4 T 08,13
101,CD4 T 01,11
102,CD4 T 06,12
103,CD4 T 01,11
104,CD4 T 06,12
105,CD8 T 05,24
106,Myeloid 03,43
107,CD4 T 16,18
108,CD4 T 01,11
109,CD4 T 15,17
110,CD8 T 01,22
111,CD4 T 08,13
112,CD4 T 01,11
113,CD4 T 06,12
114,B Cells 19,8
115,CD4 T 15,17
116,CD4 T 01,11
117,Myeloid 03,43
118,CD4 T 01,11
119,CD4 T 14,16
120,CD4 T 06,12
121,CD4 T 14,16
122,CD8 T 01,22
123,CD4 T 06,12
124,CD4 T 08,13
125,CD4 T 01,11
126,Myeloid 03,43
127,CD8 T 05,24
128,TCRgd 02,55
129,CD8 T 01,22
130,Myeloid 03,43
131,B Cells 05,3
132,CD4 T 16,18
133,CD4 T 01,11
134,CD4 T 01,11
135,CD4 T 11,14
136,TCRgd 02,55
137,CD4 T 01,11
138,CD8 T 05,24
139,CD4 T 06,12
140,CD4 T 01,11
141,Myeloid 03,43
142,CD8 T 05,24
143,B Cells 05,3
144,CD4 T 01,11
145,CD4 T 06,12
146,CD4 T 06,12
147,CD8 T 01,22
148,CD4 T 01,11
149,B Cells 05,3
150,CD4 T 01,11
151,CD8 T 05,24
152,CD4 T 06,12
153,Myeloid 03,43
154,CD4 T 15,17
155,CD4 T 01,11
156,CD8 T 01,22
157,CD4 T 06,12
158,CD4 T 01,11
159,TCRgd 01,54
160,CD8 T 05,24
161,CD4 T 01,11
162,CD4 T 01,11
163,CD4 T 06,12
164,CD4 T 01,11
165,CD4 T 06,12
166,CD4 T 16,18
167,CD4 T 01,11
168,CD4 T 15,17
169,Myeloid 03,43
170,CD4 T 01,11
171,Myeloid 03,43
172,B Cells 19,8
173,CD4 T 01,11
174,CD4 T 01,11
175,CD4 T 01,11
176,CD4 T 16,18
177,CD8 T 05,24
178,CD4 T 06,12
179,CD4 T 01,11
180,CD4 T 01,11
181,TCRgd 02,55
182,CD4 T 01,11
183,CD4 T 01,11
184,CD8 T 05,24
185,B Cells 05,3
186,CD4 T 14,16
187,CD4 T 01,11
188,Myeloid 17,45
189,B Cells 05,3
190,TCRgd 01,54
191,CD4 T 01,11
192,CD4 T 01,11
193,CD4 T 06,12
194,CD8 T 06,25
195,CD4 T 06,12
196,CD4 T 06,12
197,CD4 T 01,11
198,CD4 T 01,11
199,B Cells 05,3
200,CD4 T 01,11
201,CD4 T 14,16
202,Myeloid 10,44
203,CD4 T 06,12
204,CD8 T 01,22
205,CD4 T 01,11
206,CD4 T 01,11
207,Myeloid 03,43
208,CD4 T 16,18
209,Myeloid 03,43
210,CD4 T 08,13
211,CD4 T 01,11
212,CD8 T 01,22
213,CD4 T 01,11
214,CD8 T 06,25
215,CD8 T 05,24
216,CD4 T 06,12
217,CD4 T 06,12
218,B Cells 05,3
219,B Cells 19,8
220,CD4 T 01,11
221,B Cells 05,3
222,CD4 T 01,11
223,CD4 T 01,11
224,B Cells 19,8
225,CD4 T 14,16
226,CD4 T 12,15
227,B Cells 16,7
228,CD4 T 01,11
229,CD4 T 01,11
230,CD4 T 16,18
231,CD4 T 01,11
232,CD4 T 14,16
233,CD8 T 01,22
234,CD8 T 01,22
235,B Cells 19,8
236,TCRgd 02,55
237,B Cells 05,3
238,CD4 T 01,11
239,CD4 T 01,11
240,CD4 T 15,17
241,B Cells 05,3
242,CD4 T 01,11
243,B Cells 12,5
244,CD4 T 06,12
245,CD8 T 01,22
246,CD4 T 01,11
247,CD4 T 01,11
248,CD4 T 14,16
249,CD4 T 01,11
250,CD8 T 01,22
251,CD4 T 06,12
252,CD8 T 01,22
253,CD8 T 01,22
254,Myeloid 17,45
255,CD4 T 01,11
256,CD8 T 07,26
257,CD4 T 01,11
258,CD4 T 14,16
259,CD4 T 14,16
260,CD4 T 01,11
261,CD4 T 01,11
262,Myeloid 03,43
263,CD8 T 01,22
264,CD4 T 01,11
265,ILCs 03,34
266,CD8 T 01,22
267,CD8 T 01,22
268,CD4 T 06,12
269,CD4 T 14,16
270,TCRgd 02,55
271,CD4 T 06,12
272,CD8 T 05,24
273,CD4 T 06,12
274,Others 11,53
275,CD4 T 01,11
276,CD4 T 01,11
277,CD4 T 15,17
278,CD4 T 15,17
279,CD4 T 01,11
280,CD8 T 05,24
281,CD4 T 06,12
282,CD4 T 01,11
283,CD4 T 01,11
284,CD4 T 01,11
285,CD4 T 01,11
286,TCRgd 02,55
287,CD4 T 01,11
288,CD4 T 01,11
289,CD4 T 01,11
290,CD4 T 01,11
291,CD4 T 08,13
292,CD8 T 14,29
293,B Cells 05,3
294,Myeloid 03,43
295,ILCs 01,32
296,CD8 T 01,22
297,CD4 T 06,12
298,B Cells 12,5
299,CD4 T 06,12
300,CD4 T 06,12
301,CD4 T 01,11
302,B Cells 16,7
303,CD4 T 01,11
304,CD4 T 01,11
305,CD4 T 01,11
306,CD4 T 12,15
307,CD4 T 01,11
308,CD4 T 06,12
309,CD4 T 01,11
310,CD4 T 17,19
311,CD8 T 01,22
312,CD4 T 01,11
313,CD4 T 01,11
314,CD4 T 06,12
315,ILCs 18,40
316,CD8 T 05,24
317,ILCs 02,33
318,CD4 T 01,11
319,CD4 T 06,12
320,TCRgd 02,55
321,CD4 T 01,11
322,Myeloid 03,43
323,TCRgd 02,55
324,CD4 T 06,12
325,CD4 T 08,13
326,CD8 T 05,24
327,CD4 T 01,11
328,CD4 T 16,18
329,CD4 T 06,12
330,CD4 T 15,17
331,CD4 T 06,12
332,CD4 T 01,11
333,CD4 T 01,11
334,CD4 T 01,11
335,CD4 T 06,12
336,CD4 T 08,13
337,CD4 T 01,11
338,Others 11,53
339,CD4 T 01,11
340,CD4 T 01,11
341,CD4 T 16,18
342,CD4 T 01,11
343,CD4 T 01,11
344,CD4 T 14,16
345,CD4 T 01,11
346,CD8 T 01,22
347,CD4 T 06,12
348,CD4 T 01,11
349,CD4 T 01,11
350,CD4 T 01,11
351,B Cells 19,8
352,CD8 T 01,22
353,B Cells 21,9
354,CD4 T 01,11
355,CD8 T 01,22
356,CD4 T 14,16
357,CD4 T 01,11
358,CD8 T 01,22
359,CD8 T 01,22
360,Myeloid 03,43
361,CD4 T 06,12
362,CD8 T 01,22
363,Myeloid 03,43
364,B Cells 05,3
365,CD4 T 01,11
366,B Cells 19,8
367,CD4 T 01,11
368,CD4 T 01,11
369,CD8 T 01,22
370,CD4 T 06,12
371,CD4 T 01,11
372,CD4 T 16,18
373,CD4 T 01,11
374,CD4 T 06,12
375,CD4 T 01,11
376,B Cells 19,8
377,CD8 T 05,24
378,B Cells 12,5
379,CD4 T 06,12
380,CD8 T 01,22
381,B Cells 05,3
382,B Cells 05,3
383,CD4 T 14,16
384,CD4 T 06,12
385,CD8 T 05,24
386,B Cells 05,3
387,CD4 T 01,11
388,CD4 T 01,11
389,CD8 T 05,24
390,CD4 T 01,11
391,CD4 T 01,11
392,CD8 T 05,24
393,CD4 T 01,11
394,CD4 T 08,13
395,CD4 T 12,15
396,CD4 T 01,11
397,CD4 T 01,11
398,B Cells 05,3
399,CD4 T 01,11
400,CD4 T 06,12
401,B Cells 05,3
402,CD4 T 14,16
403,B Cells 19,8
