,0,label
0,CD4 T 01,11
1,B Cells 19,8
2,CD4 T 06,12
3,CD4 T 06,12
4,B Cells 05,3
5,CD4 T 12,15
6,CD8 T 01,22
7,CD4 T 14,16
8,CD4 T 01,11
9,CD4 T 14,16
10,CD4 T 06,12
11,CD4 T 14,16
12,CD8 T 01,22
13,CD8 T 01,22
14,CD4 T 14,16
15,B Cells 02,1
16,B Cells 12,5
17,CD4 T 14,16
18,CD4 T 06,12
19,CD4 T 06,12
20,CD4 T 01,11
21,CD4 T 14,16
22,Myeloid 17,45
23,CD8 T 01,22
24,CD8 T 08,27
25,CD8 T 01,22
26,CD4 T 01,11
27,CD4 T 01,11
28,CD4 T 01,11
29,CD8 T 01,22
30,B Cells 19,8
31,CD4 T 12,15
32,CD8 T 01,22
33,CD4 T 01,11
34,TCRgd 03,56
35,CD4 T 01,11
36,B Cells 12,5
37,CD4 T 06,12
38,B Cells 19,8
39,CD8 T 08,27
40,B Cells 05,3
41,CD8 T 14,29
42,Myeloid 17,45
43,CD8 T 01,22
44,Others 02,50
45,CD4 T 06,12
46,B Cells 12,5
47,CD4 T 01,11
48,CD8 T 01,22
49,B Cells 05,3
50,TCRgd 01,54
51,CD4 T 16,18
52,CD4 T 15,17
53,CD4 T 06,12
54,CD4 T 01,11
55,CD8 T 06,25
56,CD8 T 01,22
57,B Cells 05,3
58,ILCs 09,36
59,CD4 T 14,16
60,CD4 T 01,11
61,CD8 T 01,22
62,CD8 T 01,22
63,B Cells 05,3
64,B Cells 05,3
65,B Cells 19,8
66,CD4 T 01,11
67,CD8 T 01,22
68,CD4 T 06,12
69,B Cells 21,9
70,CD4 T 18,20
71,B Cells 05,3
72,CD4 T 06,12
73,CD4 T 01,11
74,B Cells 19,8
75,CD8 T 01,22
76,CD8 T 01,22
77,CD4 T 01,11
78,CD4 T 08,13
79,CD4 T 06,12
80,CD4 T 01,11
81,CD8 T 01,22
82,CD8 T 17,30
83,B Cells 05,3
84,B Cells 19,8
85,B Cells 12,5
86,CD4 T 06,12
87,TCRgd 02,55
88,CD4 T 14,16
89,B Cells 05,3
90,CD4 T 06,12
91,B Cells 12,5
92,CD8 T 01,22
93,Myeloid 03,43
94,Myeloid 03,43
95,CD4 T 06,12
96,Others 11,53
97,CD4 T 01,11
98,TCRgd 01,54
99,CD8 T 14,29
100,B Cells 21,9
101,CD4 T 14,16
102,TCRgd 03,56
103,CD4 T 08,13
104,CD4 T 01,11
105,CD8 T 04,23
106,TCRgd 01,54
107,CD8 T 01,22
108,CD8 T 06,25
109,CD4 T 01,11
110,CD4 T 14,16
111,CD4 T 01,11
112,B Cells 12,5
113,ILCs 04,35
114,CD4 T 08,13
115,CD4 T 12,15
116,CD8 T 01,22
117,CD4 T 06,12
118,CD4 T 01,11
119,CD4 T 14,16
120,CD4 T 01,11
121,CD4 T 01,11
122,B Cells 19,8
123,CD4 T 08,13
124,CD4 T 01,11
125,CD4 T 01,11
126,ILCs 18,40
127,B Cells 19,8
128,ILCs 19,41
129,CD4 T 01,11
130,Myeloid 19,46
131,B Cells 19,8
132,CD4 T 01,11
133,ILCs 10,37
134,CD4 T 06,12
135,B Cells 05,3
136,CD8 T 05,24
137,CD4 T 15,17
138,CD4 T 14,16
139,CD8 T 05,24
140,CD4 T 06,12
141,CD4 T 14,16
142,CD4 T 06,12
143,CD4 T 01,11
144,B Cells 12,5
145,CD4 T 14,16
146,ILCs 18,40
147,CD4 T 14,16
148,Myeloid 17,45
149,CD8 T 04,23
150,CD4 T 01,11
151,CD8 T 01,22
152,CD8 T 01,22
153,CD4 T 01,11
154,CD4 T 12,15
155,CD4 T 01,11
