,WRS,P,Q
0,25.0,0.00043235168267294306,0.0032826327467188696
1,25.0,0.00043235168267294306,0.0032826327467188696
2,47.0,0.010160763705528715,0.02863487953376274
3,86.0,0.2986114513961823,0.3605376632512098
4,8.0,1.9585365938350212e-05,0.0003035731720444283
5,27.0,0.0005990933008383896,0.0032826327467188696
6,78.0,0.1851317862737355,0.2732897797374191
7,44.0,0.0069817521443465555,0.021643431647474322
8,48.0,0.011461322478342376,0.02960841640238447
9,38.5,0.0033511581223028414,0.014118499096704741
10,58.0,0.034747990720133716,0.0633639830778909
11,88.5,0.3395680307096078,0.3759503197142086
12,49.0,0.012924845224555214,0.030310831954592662
13,40.5,0.004344557761586153,0.014964587845463416
14,76.5,0.16726405597551097,0.259259286762042
15,49.5,0.013688762818203137,0.030310831954592662
16,71.0,0.11079602389742149,0.1807724600431614
17,8.0,1.93477418323289e-05,0.0003035731720444283
18,85.0,0.22504042525683932,0.3171024174073645
19,93.0,0.41805263751824584,0.43198772543552066
20,84.0,0.26733643260026824,0.36032301785253545
21,56.0,0.028170014192025316,0.054579402497049054
22,27.5,0.0006353482735584908,0.0032826327467188696
23,92.0,0.3524051382740143,0.3767089409136015
24,88.0,0.3235743833147082,0.3715113289909613
25,40.0,0.003643483637859288,0.014118499096704741
26,95.0,0.4540168315017758,0.4540168315017758
27,56.0,0.027344203265969282,0.054579402497049054
28,69.5,0.07616408149980518,0.13117147369410892
29,86.0,0.2948196310571727,0.3605376632512098
30,90.0,0.3023864272429502,0.3605376632512098
