,WRS,P,Q
0,46.0,0.008983305403777751,0.022112751763145234
1,36.0,0.002358265180117676,0.01257741429396094
2,46.0,0.008983305403777751,0.022112751763145234
3,30.0,0.0009628171051946978,0.006854173121047478
4,8.0,1.9585365938350212e-05,0.0003133658550136034
5,77.0,0.1731148948185589,0.2215870653677554
6,82.5,0.24525486996362994,0.27876239434317857
7,48.0,0.011461322478342376,0.0244508212871304
8,42.0,0.005384659236059223,0.01818341560405495
9,49.0,0.012914689861836082,0.025829379723672163
10,40.5,0.004399908377402023,0.017599633509608092
11,39.0,0.0035947233948033395,0.016433021233386694
12,82.0,0.23817386113369238,0.27876239434317857
13,79.5,0.20406994956051594,0.25116301484371195
14,83.0,0.2526284198735056,0.27876239434317857
15,42.5,0.005682317376267172,0.01818341560405495
16,63.5,0.05909278131262616,0.09454845010020185
17,69.0,0.0951506842584735,0.1323835607074414
18,24.5,0.00023542973876810257,0.0025112505468597606
19,50.5,0.015369775118246701,0.028931341399052613
20,65.0,0.06735840271334856,0.09797585849214335
21,93.0,0.4180415688451377,0.431526780743368
22,0.0,3.6594670684284088e-06,0.00011710294618970908
23,71.5,0.11428166216837571,0.15237554955783428
24,54.0,0.022626825245862823,0.04022546710375613
25,32.0,0.0010709645501636685,0.006854173121047478
26,65.0,0.06558581678965911,0.09797585849214335
27,60.0,0.027578046023202244,0.04644723540749852
28,89.0,0.34501027788117045,0.3680109630732485
29,96.5,0.48145661440653015,0.48145661440653015
30,45.0,0.007113516391041995,0.02069386586484944
31,49.0,0.011171684878261574,0.0244508212871304
