,WRS,P,Q
0,43.0,0.0061373240548305875,0.018411972164491763
1,27.0,0.0005990933008383896,0.003867206074402348
2,46.0,0.008983305403777751,0.024704089860388814
3,86.0,0.2986114513961823,0.34621721987423076
4,7.0,1.6033691434369572e-05,0.0002645559086670979
5,28.0,0.0007031283771640633,0.003867206074402348
6,78.0,0.1851317862737355,0.2656238672623161
7,54.0,0.022819107902214322,0.05020203738487151
8,48.0,0.011470668477471024,0.029117850750503372
9,42.0,0.005379270865336547,0.017751593855610603
10,17.0,0.00010788433063402476,0.0011867276369742722
11,86.0,0.2986114513961823,0.34621721987423076
12,39.0,0.0035907650576763833,0.013948121036854033
13,87.0,0.3147429271583916,0.34621721987423076
14,39.5,0.0038040330100510998,0.013948121036854033
15,74.0,0.14005637175575686,0.22008858418761792
16,49.5,0.013699336025610508,0.03229129206036763
17,75.0,0.14901187259685233,0.2235178088952785
18,88.0,0.2566368199027671,0.34621721987423076
19,6.0,1.3066341713886665e-05,0.0002645559086670979
20,91.0,0.38244353289310806,0.3893123875146173
21,72.0,0.1203755575565148,0.19861966996824942
22,61.5,0.04884497967307843,0.10074277057572426
23,62.5,0.05351347706073173,0.10387910252965571
24,26.5,0.0005404948605739791,0.003867206074402348
25,92.0,0.3524051382740143,0.3751409536465313
26,92.0,0.3893123875146173,0.3893123875146173
27,40.0,0.003643483637859288,0.013948121036854033
28,86.5,0.30616734045098143,0.34621721987423076
29,69.0,0.09273762086241172,0.1610706046557677
30,69.5,0.07616408149980518,0.1396341494163095
31,86.0,0.2948196310571727,0.34621721987423076
32,90.0,0.3023864272429502,0.34621721987423076
