,WRS,P,Q
0,50.0,0.01453577997741903,0.031009663951827263
1,45.0,0.007927133448994754,0.025366827036783213
2,61.0,0.046762410471324185,0.07299556767495739
3,30.0,0.0009614376112578116,0.005127667260041662
4,16.0,9.029180753991965e-05,0.0009631126137591429
5,78.0,0.1851317862737355,0.21941545039850133
6,95.0,0.45427439908546097,0.45427439908546097
7,57.0,0.0313804887274039,0.052851349435627616
8,50.0,0.01453577997741903,0.031009663951827263
9,27.0,0.0005990933008383896,0.003834197125365693
10,42.0,0.005384659236059223,0.021538636944236893
11,39.0,0.003586809010042175,0.01639684118876423
12,43.0,0.006131381185645732,0.021800466437851492
13,89.5,0.35653637872620675,0.3803054706412872
14,83.0,0.2525118140454325,0.28858493033763716
15,16.0,9.010767134499785e-05,0.0009631126137591429
16,47.0,0.009887616953949357,0.02876397659330722
17,64.5,0.06469888983606224,0.09001584672843442
18,51.0,0.013719004307513018,0.031009663951827263
19,54.0,0.02273031940498579,0.040409456719974736
20,71.5,0.1153130660584748,0.14760072455484774
21,63.0,0.04790334128669079,0.07299556767495739
22,75.5,0.15561321941569561,0.19152396235777921
23,94.5,0.44515239488725256,0.45427439908546097
24,64.0,0.061820564418673125,0.08992082097261546
25,51.0,0.016292811952626336,0.03258562390525267
26,3.0,6.962845039652281e-06,0.00022281104126887298
27,26.0,0.0004870209176555317,0.003834197125365693
28,53.5,0.017313281696325056,0.03258970672249423
29,67.5,0.081928643518623,0.109238191358164
30,87.0,0.31107359201319523,0.34325361877318095
31,52.5,0.013248918628893535,0.031009663951827263
